full_code,short_code,name,name_cy,slug,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon,"lat,lon"
uk.org.mysociety.cons.ukparl.2025.was,UKPARL.2025.WAS,Warrington South,,warrington-south,E14001565,WAS,England,North West,county,76639,74.24357941,1032.264347,53.36880379,-2.599512372,"53.3688037901488,-2.59951237191231"
uk.org.mysociety.cons.ukparl.2025.wan,UKPARL.2025.WAN,Warrington North,,warrington-north,E14001564,WAN,England,North West,county,72350,91.28405452,792.5809209,53.42693251,-2.551186687,"53.4269325082851,-2.55118668740252"
uk.org.mysociety.cons.ukparl.2025.asw,UKPARL.2025.ASW,Altrincham and Sale West,,altrincham-and-sale-west,E14001065,ASW,England,North West,borough,73934,50.93049562,1451.664648,53.39351018,-2.365697451,"53.393510176538,-2.36569745066568"
uk.org.mysociety.cons.ukparl.2025.wyt,UKPARL.2025.WYT,Wythenshawe and Sale East,,wythenshawe-and-sale-east,E14001602,WYT,England,North West,borough,76971,36.54467703,2106.216452,53.39250068,-2.28147311,"53.3925006789389,-2.28147311046718"
uk.org.mysociety.cons.ukparl.2025.mct,UKPARL.2025.MCT,Manchester Central,,manchester-central,E14001352,MCT,England,North West,borough,75311,27.57263966,2731.36707,53.491662,-2.193309171,"53.4916620009682,-2.19330917127356"
uk.org.mysociety.cons.ukparl.2025.tat,UKPARL.2025.TAT,Tatton,,tatton,E14001539,TAT,England,North West,county,75538,361.8101294,208.7780133,53.30219088,-2.407452078,"53.3021908756748,-2.40745207762545"
uk.org.mysociety.cons.ukparl.2025.gad,UKPARL.2025.GAD,Gorton and Denton,,gorton-and-denton,E14001251,GAD,England,North West,borough,74306,22.70169527,3273.147627,53.45035837,-2.153979135,"53.4503583726621,-2.153979135424"
uk.org.mysociety.cons.ukparl.2025.wir,UKPARL.2025.WIR,Wirral West,,wirral-west,E14001589,WIR,England,North West,county,72126,148.4160464,485.9717108,53.35979216,-3.136552987,"53.3597921624812,-3.13655298741324"
uk.org.mysociety.cons.ukparl.2025.mch,UKPARL.2025.MCH,Mid Cheshire,,mid-cheshire,E14001361,MCH,England,North West,county,69775,105.0553029,664.1739928,53.20809097,-2.515589907,"53.2080909705619,-2.51558990669902"
uk.org.mysociety.cons.ukparl.2025.mrh,UKPARL.2025.MRH,Manchester Rusholme,,manchester-rusholme,E14001353,MRH,England,North West,borough,70692,14.82577391,4768.182789,53.45729365,-2.230697775,"53.4572936487573,-2.23069777467236"
uk.org.mysociety.cons.ukparl.2025.mwi,UKPARL.2025.MWI,Manchester Withington,,manchester-withington,E14001354,MWI,England,North West,borough,71614,18.16704651,3941.972623,53.42771609,-2.248147729,"53.4277160860074,-2.24814772940309"
uk.org.mysociety.cons.ukparl.2025.chs,UKPARL.2025.CHS,Chester South and Eddisbury,,chester-south-and-eddisbury,E14001164,CHS,England,North West,county,71975,754.9358292,95.33922913,53.09934253,-2.67029799,"53.0993425347764,-2.67029799045881"
uk.org.mysociety.cons.ukparl.2025.cwn,UKPARL.2025.CWN,Crewe and Nantwich,,crewe-and-nantwich,E14001185,CWN,England,North West,county,76236,89.93009964,847.7250698,53.08563298,-2.431489524,"53.0856329763627,-2.43148952362859"
uk.org.mysociety.cons.ukparl.2025.spt,UKPARL.2025.SPT,Stockport,,stockport,E14001517,SPT,England,North West,borough,74769,25.28234299,2957.360401,53.41779758,-2.168899301,"53.4177975759305,-2.16889930081599"
uk.org.mysociety.cons.ukparl.2025.wll,UKPARL.2025.WLL,Wallasey,,wallasey,E14001561,WLL,England,North West,borough,73054,38.83941889,1880.924125,53.41786165,-3.080264982,"53.4178616453579,-3.08026498219759"
uk.org.mysociety.cons.ukparl.2025.cng,UKPARL.2025.CNG,Congleton,,congleton,E14001178,CNG,England,North West,county,69836,211.4580271,330.2593945,53.15972347,-2.305477817,"53.1597234707268,-2.30547781690999"
uk.org.mysociety.cons.ukparl.2025.mac,UKPARL.2025.MAC,Macclesfield,,macclesfield,E14001347,MAC,England,North West,county,75881,301.7385444,251.4793068,53.2617019,-2.119763937,"53.2617019011269,-2.11976393705904"
uk.org.mysociety.cons.ukparl.2025.chn,UKPARL.2025.CHN,Chester North and Neston,,chester-north-and-neston,E14001163,CHN,England,North West,county,72327,115.5810928,625.7684389,53.25363492,-2.979667732,"53.2536349160098,-2.97966773192242"
uk.org.mysociety.cons.ukparl.2025.cdl,UKPARL.2025.CDL,Cheadle,,cheadle,E14001158,CDL,England,North West,borough,73775,39.37205976,1873.790715,53.37039036,-2.184736799,"53.3703903566727,-2.18473679874703"
uk.org.mysociety.cons.ukparl.2025.elp,UKPARL.2025.ELP,Ellesmere Port and Bromborough,,ellesmere-port-and-bromborough,E14001222,ELP,England,North West,borough,71027,59.64513624,1190.826352,53.31134317,-2.937127991,"53.3113431661787,-2.93712799084462"
uk.org.mysociety.cons.ukparl.2025.bkh,UKPARL.2025.BKH,Birkenhead,,birkenhead,E14001091,BKH,England,North West,borough,76271,35.29442021,2160.993141,53.37887443,-3.038381919,"53.378874428572,-3.03838191909048"
uk.org.mysociety.cons.ukparl.2025.rah,UKPARL.2025.RAH,Runcorn and Helsby,,runcorn-and-helsby,E14001455,RAH,England,North West,county,70950,203.63435,348.4186239,53.27889973,-2.759798313,"53.2788997263183,-2.75979831328802"
uk.org.mysociety.cons.ukparl.2025.wal,UKPARL.2025.WAL,Westmorland and Lonsdale,,westmorland-and-lonsdale,E14001580,WAL,England,North West,county,72322,2536.443911,28.51314775,54.45290225,-2.730284833,"54.4529022455739,-2.73028483267057"
uk.org.mysociety.cons.ukparl.2025.brw,UKPARL.2025.BRW,Barrow and Furness,,barrow-and-furness,E14001076,BRW,England,North West,county,76603,727.9716934,105.2279927,54.24877754,-3.220031614,"54.248777535289,-3.22003161401664"
uk.org.mysociety.cons.ukparl.2025.haz,UKPARL.2025.HAZ,Hazel Grove,,hazel-grove,E14001277,HAZ,England,North West,county,72941,61.38590854,1188.236873,53.39923892,-2.074971057,"53.3992389214282,-2.07497105690669"
uk.org.mysociety.cons.ukparl.2025.pen,UKPARL.2025.PEN,Penrith and Solway,,penrith-and-solway,E14001424,PEN,England,North West,county,76720,2032.759891,37.7417915,54.7396239,-3.017924464,"54.7396239021743,-3.01792446441445"
uk.org.mysociety.cons.ukparl.2025.waw,UKPARL.2025.WAW,Whitehaven and Workington,,whitehaven-and-workington,E14001583,WAW,England,North West,county,73385,550.3144311,133.3510369,54.51287499,-3.443035035,"54.5128749878202,-3.44303503474767"
uk.org.mysociety.cons.ukparl.2025.brl,UKPARL.2025.BRL,Bognor Regis and Littlehampton,,bognor-regis-and-littlehampton,E14001108,BRL,England,South East,borough,76985,48.11042759,1600.172849,50.80613747,-0.6009100176,"50.8061374681694,-0.600910017594813"
uk.org.mysociety.cons.ukparl.2025.asd,UKPARL.2025.ASD,Arundel and South Downs,,arundel-and-south-downs,E14001067,ASD,England,South East,county,76974,835.6651063,92.11106151,50.95821456,-0.6016533803,"50.9582145584484,-0.601653380279335"
uk.org.mysociety.cons.ukparl.2025.ays,UKPARL.2025.AYS,Aylesbury,,aylesbury,E14001071,AYS,England,South East,county,75636,196.521987,384.8729658,51.84749914,-0.7207845797,"51.8474991370483,-0.720784579696837"
uk.org.mysociety.cons.ukparl.2025.mkn,UKPARL.2025.MKN,Milton Keynes North,,milton-keynes-north,E14001370,MKN,England,South East,county,70620,221.3464455,319.0473642,52.11001189,-0.7363601964,"52.1100118890414,-0.736360196390248"
uk.org.mysociety.cons.ukparl.2025.mkc,UKPARL.2025.MKC,Milton Keynes Central,,milton-keynes-central,E14001369,MKC,England,South East,borough,76708,65.79103219,1165.93398,52.0245956,-0.7182553559,"52.0245956031887,-0.718255355900028"
uk.org.mysociety.cons.ukparl.2025.buc,UKPARL.2025.BUC,Buckingham and Bletchley,,buckingham-and-bletchley,E14001141,BUC,England,South East,county,73644,396.2445932,185.8549019,51.97276597,-0.8994230694,"51.9727659690144,-0.899423069368854"
uk.org.mysociety.cons.ukparl.2025.mbu,UKPARL.2025.MBU,Mid Buckinghamshire,,mid-buckinghamshire,E14001360,MBU,England,South East,county,72240,541.6301941,133.3751345,51.78220327,-0.8882290854,"51.7822032739485,-0.888229085439363"
uk.org.mysociety.cons.ukparl.2025.wyc,UKPARL.2025.WYC,Wycombe,,wycombe,E14001600,WYC,England,South East,county,71769,141.0470661,508.8301514,51.60800385,-0.8298151996,"51.6080038523833,-0.829815199563911"
uk.org.mysociety.cons.ukparl.2025.ban,UKPARL.2025.BAN,Banbury,,banbury,E14001072,BAN,England,South East,county,69943,512.6068126,136.445709,51.98453047,-1.427103317,"51.9845304657545,-1.4271033172506"
